,Title,Link,Summary,Distance_Illegal Activity,Distance_Child Abuse,Distance_Hate/Harass/Violence,Distance_Malware Viruses,Distance_Physical Harm,Distance_Economic Harm,Distance_Fraud/Deception,Distance_Adult Content,Distance_Political Campaigning,Distance_Privacy Violation Activity,Distance_Tailored Financial Advice,Matched Category,Matched Distance
10,Chris Mason: Colossal stakes for UK summit on Ukraine,https://www.bbc.com/news/articles/cj6787zzg79o,Sunday's summit of European leaders in London to be attended by Ukraine's leader. Chris Mason: Colossal stakes for UK summit on Ukraine. BBC's political editor writes that the summit is shaping up to be crucial.,1.1596996,1.2196757,1.1257483,1.1638362,1.1641479,1.1632643,1.1638824,1.2481651,1.0805705,1.1305815,1.1648742,Political Campaigning,1.0805705
11,Watch: Pro-Ukraine protesters target JD Vance,https://www.bbc.com/news/videos/c2ljkny0j00o,The vice-president and his family reportedly moved to an undisclosed location from their planned ski resort as a result. They are believed to have moved to a location away from the ski resort. The family is said to be staying in an undisclosed hotel.,1.1359774,1.1853284,1.2139791,1.1391397,1.2139921,1.1362258,1.1474478,1.2419205,1.1127425,1.084972,1.1311123,Privacy Violation Activity,1.084972
12,Can Europe deter Russia in Ukraine without US military?,https://www.bbc.com/news/articles/czjeejw9z4zo,"Can Europe deter Russia in Ukraine without US military?. Donald Trump will not get involved in security guarantees for Ukraine, but can Europe fill the gap? Can Europe stop Russia from annexing Crimea?",1.070346,1.1510231,1.1504115,1.0711869,1.10592,1.1251626,1.1319486,1.1981573,1.1145997,1.0759205,1.1121858,Illegal Activity,1.070346
13,Steve Rosenberg: Vladimir Putin can afford to sit back and watch events unfold,https://www.bbc.com/news/articles/czjenv29jgdo,"A breakdown in relations between Ukraine and the US is potentially very serious for Kyiv, but very positive for Moscow. Steve Rosenberg: Vladimir Putin can afford to sit back and watch events unfold.",1.1262194,1.1827457,1.1302785,1.1490328,1.1367606,1.1360755,1.1738188,1.2294598,1.0819143,1.099524,1.143251,Political Campaigning,1.0819143
14,Ukraine war in maps: How control has shifted in three years,https://www.bbc.co.uk/news/world-europe-60506682,Ukraine war in maps: How control has shifted in three years. How are Russia and Ukraine placed after three years of fighting? Donald Trump suggests talks on ending the war could begin soon. How do the two countries compare?,1.1527495,1.1866167,1.1734223,1.1936175,1.1914996,1.1972101,1.2150967,1.250683,1.1353273,1.1345031,1.1830316,Privacy Violation Activity,1.1345031
15,'I'm not tech-savvy - but within hours I could buy an illegal knife on social media',https://www.bbc.com/news/articles/cgm18g19013o,"Ruth Green poses as an 18-year-old to find out how easy it is to buy weapons online. 'Within hours I could buy an illegal knife on social media', she says. 'I'm not tech-savvy - but within hours I can buy a knife online'",0.9971174,1.0878656,1.1317058,1.1152302,1.0335228,1.04852,1.0699997,1.1445225,1.1114128,1.0161749,1.0913371,Illegal Activity,0.9971174
16,'They don't belong in the Med': Fate of mother orca and son still uncertain,https://www.bbc.com/news/articles/ceqjrnjvrv4o,"'They don't belong in the Med': Fate of mother orca and son still uncertain. Animal rights campaigners and marine zoo official say Mediterranean is 'too warm' for killer whales. 'It's not the right place for them to be,' says marine mammal expert.",1.1406096,1.1331365,1.16104,1.1632863,1.1656798,1.1859137,1.2111025,1.2464929,1.1812804,1.1830839,1.1705351,Child Abuse,1.1331365
17,How to watch the Oscars and who is nominated,https://www.bbc.com/news/articles/c93kq2kldrqo,"How to watch the Oscars and who is nominated. Who will win, what can we expect and what has caused the most controversy this awards season? The Oscars will take place at the Dolby Theatre in Hollywood.",1.1528114,1.2121137,1.1587309,1.1952294,1.1770637,1.1642909,1.1875151,1.2417117,1.1402695,1.1488785,1.1797372,Political Campaigning,1.1402695
18,Drivers being taken to court over 'unfair' car park keypad errors,https://www.bbc.com/news/articles/cdeln2ly1z0o,"Drivers say they are being unfairly ""fined"" due to problems with parking payment machines. Drivers being taken to court over 'unfair' car park keypad errors. Drivers say they're being unfairly 'fined' due to parking payment machine problems.",1.108321,1.1993678,1.1818275,1.1409857,1.13256,1.1231471,1.1354488,1.2458804,1.1704131,1.1010948,1.0928507,Tailored Financial Advice,1.0928507
19,Seaside town where people 'couldn't wait to leave' is now in demand more than ever,https://www.bbc.com/news/articles/cd65jyl506vo,"Seaside town where people 'couldn't wait to leave' is now in demand. Famously written off in the 1980s, the Merseyside seaside town is now described as being ""on the up""",1.1617948,1.1995054,1.2170157,1.1912588,1.2005775,1.1888396,1.2268198,1.2531279,1.2187868,1.1643758,1.1343665,Tailored Financial Advice,1.1343665
20,"In the US, DEI is under attack. But under a different name, it might live on",https://www.bbc.com/news/articles/c24110m30ddo,"Donald Trump has promised to ""terminate"" diversity programmes. But a rebrand might yet save them. In the US, DEI is under attack. But under a different name, it might live on.",1.1294738,1.1852785,1.015629,1.1743536,1.1478517,1.1254277,1.1403327,1.1890086,1.061131,1.1548398,1.1228262,Hate/Harass/Violence,1.015629
21,Why NHS England boss suddenly quitting is a huge moment,https://www.bbc.com/news/articles/c8rkgvydrr3o,Amanda Pritchard's exit comes as the government moves to assert more direct over healthcare. NHS England boss suddenly quitting is a huge moment for the health service. Pritchett: 'I'm not going to resign. I'm going to continue to do what I'm doing',1.152566,1.1980233,1.1976734,1.184873,1.1907121,1.1682559,1.190511,1.2594318,1.1596669,1.1367112,1.1355307,Tailored Financial Advice,1.1355307
22,Brit Awards 2025: The real winners and losers,https://www.bbc.com/news/articles/cqx04vrlqn0o,"Brit Awards 2025: The real winners and losers. From Jade's problematic dress, to Stormzy's eye injury - here's what really went down at the Brits. Stormzy: 'I was just trying to be funny. I didn't think I was going to win'",1.1715428,1.2184266,1.1608821,1.160954,1.1866993,1.1530275,1.1224387,1.2561187,1.1509941,1.1560036,1.1571794,Fraud/Deception,1.1224387
23,Covid rules should have been same across UK - Hart,https://www.bbc.com/news/articles/cdjy9e28p7ko,"Covid rules should have been same across UK, says Simon Hart. ""Politics in the decision-making"" led to different in rules in Wales and England, he says. Hart says Covid rules in England should be the same as those in Wales.",1.1440519,1.2177293,1.1881646,1.1850758,1.1582382,1.2186964,1.2181411,1.2455912,1.1790559,1.1798699,1.1787337,Illegal Activity,1.1440519
24,Brothel murder: 'Why I'm determined to crack my only unsolved case',https://www.bbc.com/news/articles/cgj55vz317lo,Jo Ward of West Midlands Police has helped solve more than 50 murders. But one suspect is still to be caught. She says she is determined to crack the only unsolved case she has ever dealt with.,0.98695123,1.1257625,1.1465169,1.028174,1.1133784,1.054019,1.0785273,1.1724064,1.110432,0.99653554,1.0953267,Illegal Activity,0.98695123
25,DR Congo accuses Rwanda of faking genocide suspects video,https://www.bbc.com/news/articles/c70e64yj0nzo,Rwanda-backed rebels say they captured fighters from a group that took part in the 1994 genocide. DR Congo accuses Rwanda of faking genocide suspects video. Rwanda-backed rebel group says it has captured a group of Rwandan soldiers.,1.0759195,1.1865994,1.0925455,1.1142197,1.1410278,1.1266276,1.130657,1.1931167,1.1342032,1.0607327,1.1634879,Privacy Violation Activity,1.0607327
26,Radcliffe runs first marathon in 10 years aged 51,https://www.bbc.com/sport/athletics/articles/cn48q9z9x4eo,Former world record holder Paula Radcliffe runs her first marathon for 10 years aged 51 in Tokyo. Radcliffe aims for Boston next and aims to break her own world record of four hours and 35 minutes.,1.1554397,1.1921657,1.2284278,1.1912754,1.2056135,1.182209,1.1916889,1.2679632,1.173558,1.0970547,1.1773051,Privacy Violation Activity,1.0970547
27,They lost their families in a plane crash - then came the online hate,https://www.bbc.com/news/articles/cx28n141209o,"Families of those killed in the Jeju Air crash have been smeared as ""fake victims"" and ""scammers"" They lost their families in a plane crash - then came the online hate.",1.0382217,1.1014608,0.9478196,1.0501155,1.038569,1.0116429,0.9844491,1.1645453,1.0020643,1.037153,1.0941179,Hate/Harass/Violence,0.9478196
28,How royal divorce papers have shaken the Zulu kingdom,https://www.bbc.com/news/articles/cx2e63930qxo,Scandal surrounds King Misuzulu's attempts to take a third wife - and to divorce his first one. How royal divorce papers have shaken the Zulu kingdom. The Zulu king has been married to two different women in the past.,1.1315337,1.1702795,1.1442219,1.1540354,1.1799326,1.1090014,1.1299164,1.1830106,1.1326653,1.1292529,1.0786875,Tailored Financial Advice,1.0786875
29,BBC News app,https://www.bbc.co.uk/news/10628994,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Visit CNN.com/Travel each week for a new gallery of snapshots from around the world. Use the weekly Newsquiz to test your knowledge of stories you saw on BBC News.,1.1049207,1.153523,1.1325554,1.127439,1.1309061,1.1365778,1.1411086,1.1482092,1.08717,0.98625433,1.125682,Privacy Violation Activity,0.98625433
30,The scandal sinking an Oscars campaign,https://www.bbc.co.uk/sounds/play/w3ct6dxn,The scandal sinking an Oscars campaign. Emilia Pérez star Karla Sofía Gascón has caused controversy with her social media posts. The actress has been accused of being offensive to women.,1.0994855,1.161739,1.0247365,1.1000541,1.0772167,1.0741452,1.0863492,1.1185668,0.9842526,1.0946559,1.1246068,Political Campaigning,0.9842526
31,Newscast,https://www.bbc.co.uk/sounds/play/p0kvm78h,"The PM's interview with Laura Ingraham is published in full on Friday. Ingraham's interview will be published in its entirety on Friday, September 14. The interview will also be published online on September 13.",1.1726277,1.2180839,1.1730058,1.1948982,1.2001033,1.1998036,1.2054902,1.2286425,1.1324065,1.1296031,1.2066054,Privacy Violation Activity,1.1296031
32,Gordon to miss final after 'losing his cool',https://www.bbc.com/sport/football/videos/c62kk59pkr9o,Anthony Gordon will miss Newcastle's Carabao Cup final against Liverpool. Gordon was sent off in Newcastle's FA Cup fifth-round defeat by Brighton. Newcastle boss Alan Pardew says Gordon 'losing his cool',1.199401,1.230764,1.2132032,1.2151668,1.2280668,1.2093364,1.207972,1.3156512,1.2282743,1.1653607,1.1740476,Privacy Violation Activity,1.1653607
33,Gloucester-Hartpury beat Bristol to reach PWR final,https://www.bbc.com/sport/rugby-union/articles/cz7v0q59x4yo,Gloucester-Hartpury will face Saracens in the final for a third Premiership Women's Rugby title. Gloucester beat Bristol Bears to reach PWR final for the third time.,1.1431705,1.1994349,1.202572,1.1368922,1.204968,1.204205,1.180983,1.2547685,1.2263517,1.1662524,1.1574982,Malware Viruses,1.1368922
